Wave[A],Flux[ergs A-1 cm-2 s-2](Orig),Flux[erg A-1 cm-2 s-2](cont+line+filt)
6594.1455078125,4.11637504242099E-16,4.35706596231022E-16
6593.056640625,4.53155821621297E-16,4.35804178007422E-16
6591.9677734375,4.21037496490553E-16,4.35901470860304E-16
6590.87890625,3.64046259960179E-16,4.35998475016722E-16
6589.78955078125,4.24808089242709E-16,4.36095234009336E-16
6588.70068359375,4.37884228966793E-16,4.36191661324823E-16
6587.61181640625,4.75079036514483E-16,4.36287800625141E-16
6586.52294921875,5.1006810784296E-16,4.36383652137358E-16
6585.43408203125,4.88787145094117E-16,4.36479216088534E-16
6584.34521484375,4.28560488653601E-16,4.36574492705732E-16
6583.25634765625,3.66679063353372E-16,4.36669482216019E-16
6582.16748046875,3.66193714798084E-16,4.36764184846451E-16
6581.07861328125,4.47125161662642E-16,4.36858600824101E-16
6579.98974609375,3.51462864447804E-16,4.36952730376027E-16
6578.90087890625,3.94171997213115E-16,4.37046573729288E-16
6577.8125,3.85106281002757E-16,4.37140089221034E-16
6576.7236328125,3.69005349345755E-16,4.37233360986252E-16
6575.634765625,4.84402177728331E-16,4.37326347233903E-16
6574.5458984375,4.93930131067661E-16,4.37419048191042E-16
6573.45703125,4.22703804850682E-16,4.37511464084739E-16
6572.3681640625,4.68886576939873E-16,4.37603595142053E-16
6571.279296875,3.86516160284854E-16,4.3769544159005E-16
6570.1904296875,4.41581704026174E-16,4.37787003655794E-16
6569.1015625,4.17085377519192E-16,4.37878281566341E-16
6568.01318359375,4.0805440399747E-16,4.37969234807888E-16
6566.92431640625,3.95825471259441E-16,4.38059945216412E-16
6565.83544921875,3.29480016008734E-16,4.38150372150839E-16
6564.74658203125,4.1866603099602E-16,4.38240515838222E-16
6563.65771484375,5.04891462015348E-16,4.3833037650563E-16
6562.5693359375,4.65717079354083E-16,4.38419914274021E-16
6561.48046875,3.76420123785368E-16,4.38509209709327E-16
6560.3916015625,4.88052828409341E-16,4.38598222805747E-16
6559.302734375,4.22605427929559E-16,4.3868695379034E-16
6558.21435546875,4.50709230260042E-16,4.38775363290043E-16
6557.12548828125,4.72647711378033E-16,4.3886353085843E-16
6556.03662109375,4.39067665460679E-16,4.38951416996081E-16
6554.9482421875,4.39899008225493E-16,4.39038982708326E-16
6553.859375,5.26985686684304E-16,4.39126306791642E-16
6552.7705078125,4.51556300926732E-16,4.39213350125313E-16
6551.68212890625,3.65291597577735E-16,4.39300074092144E-16
6550.59326171875,4.49853949550045E-16,4.39386556733352E-16
6549.50439453125,4.71605622404312E-16,4.39472759305998E-16
6548.416015625,3.816311977524E-16,4.39558643569461E-16
6547.3271484375,4.44901383200489E-16,4.39644286811515E-16
6546.23876953125,3.11932734786719E-16,4.39729612448925E-16
6545.14990234375,3.6021640070975E-16,4.39814697268237E-16
6544.06103515625,3.88240468564302E-16,4.39899503154099E-16
6542.97265625,3.5131296321836E-16,4.39983992491443E-16
6541.8837890625,4.00580541951178E-16,4.40068241316432E-16
6540.79541015625,3.93879762464215E-16,4.40152174296426E-16
6539.70654296875,4.40489733855701E-16,4.40235866968389E-16
6538.6181640625,4.83097329649367E-16,4.40319244498467E-16
6537.529296875,3.46358094880304E-16,4.40402381925246E-16
6536.44091796875,4.92534695682548E-16,4.40485204912853E-16
6535.35205078125,4.63105909491177E-16,4.40567788002297E-16
6534.263671875,4.35158251287657E-16,4.4065005735487E-16
6533.1748046875,4.77007763402024E-16,4.40732087014826E-16
6532.08642578125,4.1062745164263E-16,4.40813803639802E-16
6530.99755859375,5.33090213430496E-16,4.40895280778115E-16
6529.9091796875,5.09599741195357E-16,4.40976445582938E-16
6528.8203125,4.4690570888148E-16,4.41057371107451E-16
6527.73193359375,4.57805809052667E-16,4.41137984999558E-16
6526.6435546875,4.36405739795387E-16,4.41218323837267E-16
6525.5546875,5.40294933845939E-16,4.41298423704951E-16
6524.46630859375,3.06469013831996E-16,4.41378212991001E-16
6523.3779296875,4.37031269215304E-16,4.41457727903034E-16
6522.2890625,6.16974950515241E-16,4.41537004156232E-16
6521.20068359375,3.83271685724854E-16,4.41615970877663E-16
6520.11181640625,4.82401069890213E-16,4.41694699148247E-16
6519.0234375,5.76146527574948E-16,4.41773118586514E-16
6517.93505859375,4.05006797761513E-16,4.41851264784753E-16
6516.8466796875,4.39684401840394E-16,4.4192913796973E-16
6515.7578125,5.20010992182904E-16,4.42006773121006E-16
6514.66943359375,4.85545616400005E-16,4.42084100837495E-16
6513.5810546875,6.12278829125585E-16,4.42161156221089E-16
6512.4921875,4.1461521151048E-16,4.42237973884929E-16
6511.40380859375,4.59684715403367E-16,4.42314485161092E-16
6510.3154296875,4.51202982088027E-16,4.42390724784739E-16
6509.22705078125,5.36655579363955E-16,4.42466692982628E-16
6508.13818359375,4.51842601371627E-16,4.42542423880764E-16
6507.0498046875,5.27064011644471E-16,4.42617849785897E-16
6505.96142578125,4.72748654103125E-16,4.42693004945651E-16
6504.873046875,4.59483416038219E-16,4.42767889586781E-16
6503.78466796875,3.44993607961502E-16,4.42842503936045E-16
6502.6962890625,5.4345802508332E-16,4.42916848220202E-16
6501.607421875,4.26496728170655E-16,4.4299095583763E-16
6500.51904296875,4.42522752557199E-16,4.43064760550941E-16
6499.4306640625,3.60799049748457E-16,4.43138295879521E-16
6498.34228515625,4.80186106085249E-16,4.43211562050126E-16
6497.25390625,5.56426295382152E-16,4.43284559289521E-16
6496.16552734375,4.73480456820584E-16,4.43357287824452E-16
6495.0771484375,5.08480703028264E-16,4.43429747881687E-16
6493.98876953125,4.61524332439624E-16,4.4350193968798E-16
6492.900390625,4.57165566626339E-16,4.43573863470091E-16
6491.8115234375,4.94349428037838E-16,4.43645551541857E-16
6490.72314453125,5.23657648794753E-16,4.43716939835888E-16
6489.634765625,5.02082781053918E-16,4.43788060786111E-16
